vendor,family,model,series,mtbf_years,standard,type,frequency_bands,no_of_radios,no_of_antennas,antenna_supported,antenna_type,antenna_gain_2.4_dbi,antenna_gain_5_dbi,antenna_gain_6_dbi,max_phy_band_2.4ghz_gbps,max_phy_band_5ghz_gbps,max_phy_band_6ghz_gbps,max_ssids,spatial_stream,client_cap_p_radio,security_auth,eap_types,advanced_features,wireless_monitoring,mount_opt,dimentions_h_d_w_mm,weight_kg,pwr_consumption_max_w,operating_temp,strg_temp,humidity,certifications,warranty,mgmt,usb_ports,console_port,poe,ge_ports,mugig_ports,interface_raw,release_year,support_years,datasheet_url,datasheet_date
Fortinet,FortiAP,441K,K,10,802.11be,Indoor AP,"2.4GHz, 5GHz, 6GHz",4 + 1 BLE,12,Internal: x4 dual band Wi-Fi + x4 6GHz Wi-Fi + x2 tri-band scanning + x1 2.4GHz BLE/ZigBee + x1 GPS,Omni Directional,4.0,5.6,5.4,1.148,8.648,11.530,8,4x4 MU-MIMO,512,"WPA, WPA2, WPA3 with 802.1x/PSK, WEP, Web Captive Portal, MAC blacklist/whitelist","EAP-TLS, EAP-TTLS/MSCHAPv2, PEAPv0/EAP-MSCHAPv2, PEAPv1/EAP-GTC, EAP-SIM, EAP-AKA, EAP-FAST, EAP-TTLS/PAP","OFDMA, Spatial Reuse (BSS Coloring), UL MU-MIMO, DL-MU-MIMO, Enhanced TWT","Rogue scan, WIDS/WIPS (background/dedicated), packet sniffer, spectrum analyzer","Ceiling, T-Rail, and Wall",250 x 250 x 57.5,1.98,41.7,0-50°C,-30-70°C,5-90% non-condensing,,Limited Lifetime Warranty,"FortiGate, FortiEdge Cloud, or SASE-managed",1,1,"LAN1:802.3bt, LAN2:802.3bt",,2,"x2 100M/1000M/2.5G/5.0G/10G Multigigabit Ethernet (RJ45), x1 Type 3.0 USB at 4.5W, x1 RS-232 RJ45 Serial Port",,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortiap-series.pdf,2026-04-23
Fortinet,FortiAP,443K,K,10,802.11be,Indoor AP,"2.4GHz, 5GHz, 6GHz",4 + 1 BLE,12,External: x4 dual band Wi-Fi + x4 6GHz Wi-Fi + x2 tri-band scanning; Internal: x1 2.4GHz BLE/ZigBee + x1 GPS,Omni Directional,5.0,5.0,5.8,1.148,8.648,11.530,8,4x4 MU-MIMO,512,"WPA, WPA2, WPA3 with 802.1x/PSK, WEP, Web Captive Portal, MAC blacklist/whitelist","EAP-TLS, EAP-TTLS/MSCHAPv2, PEAPv0/EAP-MSCHAPv2, PEAPv1/EAP-GTC, EAP-SIM, EAP-AKA, EAP-FAST, EAP-TTLS/PAP","OFDMA, Spatial Reuse (BSS Coloring), UL MU-MIMO, DL-MU-MIMO, Enhanced TWT","Rogue scan, WIDS/WIPS (background/dedicated), packet sniffer, spectrum analyzer","Ceiling, T-Rail, and Wall",250 x 250 x 57.5,,41.7,0-50°C,-30-70°C,5-90% non-condensing,,Limited Lifetime Warranty,"FortiGate, FortiEdge Cloud, or SASE-managed",1,1,"LAN1:802.3bt, LAN2:802.3bt",,2,"x2 100M/1000M/2.5G/5.0G/10G Multigigabit Ethernet (RJ45), x1 Type 3.0 USB at 4.5W, x1 RS-232 RJ45 Serial Port",,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortiap-series.pdf,2026-04-23
Fortinet,FortiAP,241K,K,10,802.11be,Indoor AP,"2.4GHz, 5GHz, 6GHz",4-Radio 2.4GHz + 5.0GHz + 6GHz + tri-band scan,7,6 internal Wi-Fi antennas: x2 dual band + x2 6GHz + x2 tri-band scanning; 1 internal 2.4GHz BLE/ZigBee,Omni Directional,4.7,5.4,5.7,0.688,4.324,5.765,8,2x2 MU-MIMO,512,"WPA, WPA2, WPA3 with 802.1x/PSK, WEP, Web Captive Portal, MAC blacklist/whitelist","EAP-TLS, EAP-TTLS/MSCHAPv2, PEAPv0/EAP-MSCHAPv2, PEAPv1/EAP-GTC, EAP-SIM, EAP-AKA, EAP-FAST, EAP-TTLS/PAP","OFDMA, Spatial Reuse (BSS Coloring), UL MU-MIMO, DL-MU-MIMO, Enhanced TWT","Rogue scan, WIDS/WIPS (background/dedicated), packet sniffer, spectrum analyzer","Ceiling, T-Rail, and Wall",190 x 190 x 51,1.09,26.1,0-50°C,-30-70°C,5-90% non-condensing,,Limited Lifetime Warranty,"FortiGate, FortiEdge Cloud, or SASE-managed",1,1,"LAN1:802.3bt, LAN2: N/A",1,1,"x1 100M/1000M/2.5G/5.0G/10G Multigigabit Ethernet (RJ45), x1 10M/100M/1000M Ethernet (RJ45), x1 Type 2.0 USB at 2.5W, x1 RS-232 RJ45 Serial Port",,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortiap-series.pdf,2026-04-23
Fortinet,FortiAP,243K,K,10,802.11be,Indoor AP,"2.4GHz, 5GHz, 6GHz",4-Radio 2.4GHz + 5.0GHz + 6GHz + tri-band scan,7,6 external RPSMA: x2 dual band + x2 6GHz + x2 tri-band scanning; 1 internal 2.4GHz BLE/ZigBee,Omni Directional,4.5,5.7,5.25,0.688,4.324,5.765,8,2x2 MU-MIMO,512,"WPA, WPA2, WPA3 with 802.1x/PSK, WEP, Web Captive Portal, MAC blacklist/whitelist","EAP-TLS, EAP-TTLS/MSCHAPv2, PEAPv0/EAP-MSCHAPv2, PEAPv1/EAP-GTC, EAP-SIM, EAP-AKA, EAP-FAST, EAP-TTLS/PAP","OFDMA, Spatial Reuse (BSS Coloring), UL MU-MIMO, DL-MU-MIMO, Enhanced TWT","Rogue scan, WIDS/WIPS (background/dedicated), packet sniffer, spectrum analyzer","Ceiling, T-Rail, and Wall",190 x 190 x 51,1.18,26.1,0-50°C,-30-70°C,5-90% non-condensing,,Limited Lifetime Warranty,"FortiGate, FortiEdge Cloud, or SASE-managed",1,1,"LAN1:802.3bt, LAN2: N/A",1,1,"x1 100M/1000M/2.5G/5.0G/10G Multigigabit Ethernet (RJ45), x1 10M/100M/1000M Ethernet (RJ45), x1 Type 2.0 USB at 2.5W, x1 RS-232 RJ45 Serial Port",,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortiap-series.pdf,2026-04-23
Fortinet,FortiAP,231K,K,10,802.11be,Indoor AP,"2.4GHz, 5GHz, 6GHz",3 Wi-Fi + 1 BLE,6,x2 dual band Wi-Fi + x2 6GHz Wi-Fi + x1 BLE/ZigBee + x1 GPS,PIFA,4.2,5.0,5.1,0.688,2.882,5.765,8,2x2 MU-MIMO,256,"WPA, WPA2, WPA3 with 802.1x/PSK, WEP, Web Captive Portal, MAC blacklist/whitelist","EAP-TLS, EAP-TTLS/MSCHAPv2, PEAPv0/EAP-MSCHAPv2, PEAPv1/EAP-GTC, EAP-SIM, EAP-AKA, EAP-FAST, EAP-TTLS/PAP","OFDMA, Spatial Reuse (BSS Coloring), UL MU-MIMO, DL-MU-MIMO, Enhanced TWT","Rogue scan, WIDS/WIPS (background/dedicated), packet sniffer, spectrum analyzer","Ceiling, T-Rail, and Wall",175 x 175 x 56,1.01,15.2,0-50°C,-30-70°C,5-90% non-condensing,,Limited Lifetime Warranty,"FortiGate, FortiEdge Cloud, or SASE-managed",,1,LAN1:802.3at,,1,"x1 100M/1000M/2.5G/5.0G Multigigabit Ethernet (RJ45), x1 RS-232 RJ45 Serial Port",,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortiap-series.pdf,2026-04-23
Fortinet,FortiAP,221K,K,10,802.11be,Indoor AP,"2.4GHz, 5GHz",2 Wi-Fi + 1 BLE,3,x2 dual band Wi-Fi + x1 BLE/ZigBee,PIFA,5.7,5.9,,,2.882,,8,2x2 MU-MIMO,128,"WPA, WPA2, WPA3 with 802.1x/PSK, WEP, Web Captive Portal, MAC blacklist/whitelist","EAP-TLS, EAP-TTLS/MSCHAPv2, PEAPv0/EAP-MSCHAPv2, PEAPv1/EAP-GTC, EAP-SIM, EAP-AKA, EAP-FAST, EAP-TTLS/PAP","OFDMA, Spatial Reuse (BSS Coloring), UL MU-MIMO, DL-MU-MIMO, Enhanced TWT","Rogue scan, WIDS/WIPS (background/dedicated), packet sniffer, spectrum analyzer","Ceiling, T-Rail, and Wall",,,16.3,,,,,Limited Lifetime Warranty,"FortiGate, FortiEdge Cloud, or SASE-managed",,1,802.3at,,1,"x1 100M/1000M/2.5G Multigigabit Ethernet (RJ45), x1 RS-232 RJ45 Serial Port",,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortiap-series.pdf,2026-04-23
Fortinet,FortiAP,23JK,K,10,802.11be,Indoor AP (wall/desk),"2.4GHz, 5GHz, 6GHz",3 Wi-Fi + 1 BLE,5,x2 dual band Wi-Fi + x2 6GHz Wi-Fi + x1 BLE/ZigBee,PCB,4.0,4.4,3.6,0.688,2.882,5.765,8,2x2 MU-MIMO,256,"WPA, WPA2, WPA3 with 802.1x/PSK, WEP, Web Captive Portal, MAC blacklist/whitelist","EAP-TLS, EAP-TTLS/MSCHAPv2, PEAPv0/EAP-MSCHAPv2, PEAPv1/EAP-GTC, EAP-SIM, EAP-AKA, EAP-FAST, EAP-TTLS/PAP","OFDMA, Spatial Reuse (BSS Coloring), UL MU-MIMO, DL-MU-MIMO, Enhanced TWT","Rogue scan, WIDS/WIPS (background/dedicated), packet sniffer, spectrum analyzer",Wall mount (default) or table top stand,,0.52,31,0-45°C,-30-70°C,5-90% non-condensing,,Limited Lifetime Warranty,"FortiGate, FortiEdge Cloud, or SASE-managed",,1,"WAN1: 802.3bt PoE (PD), LAN3: 802.3af PoE (PSE)",3,1,"WAN1: x1 100M/1000M/2.5G/5.0G/10G Multigigabit Ethernet (RJ45) 802.3bt PoE(PD); LAN: x3 10M/100M/1000M Gigabit Ethernet (RJ45), LAN3 802.3af PoE (PSE)",,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortiap-series.pdf,2026-04-23
Fortinet,FortiAP,244K,K,10,802.11be,Outdoor AP,"2.4GHz, 5GHz, 6GHz",4 + 1 BLE,7,7 internal antennas,Directional,8.8,9.4,8.5,0.688,4.324,5.765,8,2x2 MU-MIMO,512,"WPA, WPA2, WPA3 with 802.1x/PSK, WEP, Web Captive Portal, MAC blacklist/whitelist","EAP-TLS, EAP-TTLS/MSCHAPv2, PEAPv0/EAP-MSCHAPv2, PEAPv1/EAP-GTC, EAP-SIM, EAP-AKA, EAP-FAST, EAP-TTLS/PAP","OFDMA, Spatial Reuse (BSS Coloring), UL MU-MIMO, DL-MU-MIMO, Enhanced TWT","Rogue scan, WIDS/WIPS (background/dedicated), packet sniffer, spectrum analyzer",Articulating wall and pole mounting,,2.4,26,-40-70°C,-50-80°C,5-90% non-condensing,,Limited Lifetime Warranty,"FortiGate, FortiEdge Cloud, or SASE-managed",,1,802.3bt PoE-IN,,1,Port 1: x1 RJ45 Multi-Gigabit Ethernet (100M/1G/2.5G/5G) 802.3bt PoE-IN; Port 2: x1 fiber SFP+ cage 1G/10G; Console: x1 RJ45 RS-232,,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortiap-series.pdf,2026-04-23
Fortinet,FortiAP,222KL,K,10,802.11be,Outdoor AP,"2.4GHz, 5GHz",2 Wi-Fi + LoRaWAN + 1 LTE + 1 GNSS,5,"5 external N-type antennas (Wi-Fi, LoRaWAN, LTE, GNSS)",Omni Directional,5.0,6.5,,,,,8,2x2 MU-MIMO,512,"WPA, WPA2, WPA3 with 802.1x/PSK, WEP, Web Captive Portal, MAC blacklist/whitelist","EAP-TLS, EAP-TTLS/MSCHAPv2, PEAPv0/EAP-MSCHAPv2, PEAPv1/EAP-GTC, EAP-SIM, EAP-AKA, EAP-FAST, EAP-TTLS/PAP","OFDMA, Spatial Reuse (BSS Coloring), UL MU-MIMO, DL-MU-MIMO, Enhanced TWT","Rogue scan, WIDS/WIPS (background/dedicated), packet sniffer, spectrum analyzer",,,,26,-40-70°C,-50-80°C,5-90% non-condensing,,Limited Lifetime Warranty,"FortiGate, FortiEdge Cloud, or SASE-managed",,1,802.3bt PoE-IN,,1,Port 1: x1 RJ45 Multi-Gigabit Ethernet (100M/1G/2.5G) 802.3bt PoE-IN,,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortiap-series.pdf,2026-04-23
Fortinet,FortiAP,432G,G,10,802.11ax,Outdoor AP,"2.4GHz, 5GHz, 6GHz",3 + 1 BLE,9,External N-type: x4 dual band Wi-Fi + x4 tri-band Wi-Fi/scanning + x1 2.4GHz BLE/ZigBee,Omni Directional,5.1,6.4,6.0,1.182,2.475,4.804,8,4x4 MU-MIMO,512,"WPA, WPA2, WPA3 with 802.1x/PSK, WEP, Web Captive Portal, MAC blacklist/whitelist","EAP-TLS, EAP-TTLS/MSCHAPv2, PEAPv0/EAP-MSCHAPv2, PEAPv1/EAP-GTC, EAP-SIM, EAP-AKA, EAP-FAST, EAP-TTLS/PAP","OFDMA, Spatial Reuse (BSS Coloring), UL MU-MIMO, DL-MU-MIMO, Enhanced TWT","Rogue scan, WIDS/WIPS (background/dedicated), packet sniffer, spectrum analyzer",,240 x 240 x 69.6,,41.2,,,,,Limited Lifetime Warranty,"FortiGate, FortiEdge Cloud, or SASE-managed",,1,802.3bt PoE on LAN1/10G PoE port,1,1,"x1 10GBASE-T/5GBASE-T/2.5GBASE-T/1000BASE-T/100BASE-TX/10BASE-Te RJ45, x1 10/100/1000 Base-T RJ45, x1 RS-232 RJ45 Serial Port",,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortiap-series.pdf,2026-04-23
