vendor,family,model,series,ips_throughput_gbps,ngfw_throughput_gbps,threat_protection_gbps,firewall_throughput_1518_gbps,firewall_throughput_512_gbps,firewall_throughput_64_gbps,firewall_latency_us,firewall_throughput_mpps,concurrent_sessions,new_sessions_per_sec,ipsec_vpn_throughput_gbps,gateway_to_gateway_vpn,client_to_gateway_tunnels,ssl_inspection_throughput_gbps,ssl_inspection_cps,ssl_inspection_concurrent_sessions,virtual_systems_default,virtual_systems_max,wan_ports,ge_rj45_ports,fortilink_ports,console_ports,usb_ports,interface_raw,release_year,support_years,datasheet_url,datasheet_date
Fortinet,FortiGate,FG-30G,G,0.8,0.5,0.5,4,4,3.9,2.87,5.85,600000,30000,3.5,200,250,0.4,260,55000,,,1,2,1,1,,"4x GE RJ45 ports (3x Internal Ports, 1x WAN Port)",2024,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/fortigate-fortiwifi-30g-series.pdf,2025
Fortinet,FortiGate,FG-40F,F,1,0.8,0.6,5,5,5,2.97,7.5,700000,35000,4.4,200,250,0.31,320,55000,10,10,1,3,1,1,1,"5x GE RJ45 ports (4x Internal Ports, 1x WAN Ports)",2020,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/fortigate-fortiwifi-40f-series.pdf,2025
Fortinet,FortiGate,FG-50G,G,2.25,1.25,1.1,5,5,4,2.42,6,720000,85000,4.5,200,250,1.3,699,74000,5,5,1,3,1,1,1,"5x GE RJ45 ports (4x Internal Ports, 1x WAN Ports)",2024,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/fortigate-fortiwifi-50g-series.pdf,2025
Fortinet,FortiGate,FG-50G-SFP,G,2.25,1.25,1.1,5,5,4,2.42,6,720000,85000,4.5,200,250,1.3,699,74000,5,5,1,3,1,1,1,"5x GE RJ45 ports (4x Internal Ports, 1x WAN Ports), 1x SFP port",2024,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/fortigate-fortiwifi-50g-series.pdf,2025
Fortinet,FortiGate,FG-50G-SFP-POE,G,2.25,1.25,1.1,5,5,4,2.42,6,720000,85000,4.5,200,250,1.3,699,74000,5,5,2,2,1,1,1,"3x RJ45 PoE+ ports, 1x RJ45 PoE+ WAN, 1x RJ45 WAN port, 1x SFP port",2024,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/fortigate-fortiwifi-50g-series.pdf,2025
Fortinet,FortiGate,FG-60F,F,1.4,1,0.7,10,10,6,,,700000,35000,6.5,200,,,,,10,10,2,5,,,,"10x GE RJ45 ports (7x Internal ports, 2x WAN ports, 1x DMZ port).",2020,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/fortigate-fortiwifi-60f-series.pdf,2025
Fortinet,FortiGate,FG-70F,F,1.4,1,0.8,10,10,6,,,1500000,35000,6.1,200,,,,,10,10,2,10,,,,"2x GE RJ45 WAN, 1x GE RJ45 DMZ, 5x GE RJ45 internal, 2x GE RJ45 FortiLink; USB 1; Console 1",2022,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/fortigate-70f-series.pdf,2025
Fortinet,FortiGate,FG-70G,G,2.5,1.5,1.3,10,10,10,,,1400000,100000,7.1,200,,,,,10,10,2,10,,,,"10 x GE RJ45 ports (7 x Internal Ports, 2 x WAN Ports, 1 x DMZ Port)",2025,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortigate-fortiwifi-70g-series.pdf,2026
Fortinet,FortiGate,FG-70G-POE,G,2.5,1.5,1.3,10,10,10,,,1400000,100000,7.1,200,,,,,10,10,2,10,,,,"10x GE RJ45 ports (4x Internal ports, 4x GE RJ45 PoE ports, 2x WAN ports)",2025,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortigate-fortiwifi-70g-series.pdf,2026
Fortinet,FortiGate,FG-80F,F,1.4,1,0.9,10,10,7,,,1500000,45000,6.5,200,,,,,10,10,2,10,,,,"8x GE RJ45 (incl. FWF/Bypass/DSL variants), 2x GE RJ45/SFP shared pairs",2021,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/fortigate-fortiwifi-80f-series.pdf,2025
