vendor,family,model,series,mtbf_years,switching_capacity_gbps,packets_per_s_mpps,mac_add_storage,network_latency_us,vlans_support,lag_size,dram,flash_mem,storage_gb,acl,stp_instance,dimentions_h_d_w_mm,weight_kg,pwr_supply,pwr_required,pwr_consumed_avg_w,pwr_consumed_max_w,heat_diss_btuh,operating_temp,strg_temp,humidity,air_flw,noise_lvl_dba,certifications,poe_budget,mgmt_port,console_port,poe_ports,ge_ports,mugig_ports,sfp_ports,sfp+_ports,spf28_ports,qsfp+_ports,qsfp28_ports,interface_raw,release_year,support_years,datasheet_url,datasheet_date
Fortinet,FortiSwitch,108F,F,10,20,30,8000,4,4000,8,256 MB DDR3,32 MB,,640,32,30 x 120 x 180,0.62,"12V/1A DC power adapter included, PoE-PD built in","100-240V AC, 50/60 Hz / PoE-PSE(af)",,6.2,21.142,0-45°C,-40-70°C,5-95% non-condensing,side-to-side,0,"FCC, CE, RCM, VCCI, BSMI, UL, CB, RoHS2",0,0,1,0,8,0,2,0,0,0,0,"7x GE RJ45, 1x GE/POE-PD RJ45 and 2x GE SFP",,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortiswitch-secure-access-series.pdf,2026-02-06
Fortinet,FortiSwitch,108F-POE,F,10,20,30,8000,4,4000,8,256 MB DDR3,32 MB,,640,32,44 x 209 x 250,1.70,AC built in,"100-240V AC, 50/60 Hz",,74.4,34.12,0-45°C,-40-70°C,5-95% non-condensing,side-to-side,0,"FCC, CE, RCM, VCCI, BSMI, UL, CB, RoHS2",65,0,1,8,8,0,2,0,0,0,0,8x GE RJ45 and 2x GE SFP,,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortiswitch-secure-access-series.pdf,2026-02-06
Fortinet,FortiSwitch,108F-FPOE,F,10,20,30,8000,4,4000,8,256 MB DDR3,32 MB,,640,32,44 x 209 x 250,1.84,AC built in,"100-240V AC, 50/60 Hz",,139.2,34.56,0-45°C,-40-70°C,5-95% non-condensing,side-to-side,0,"FCC, CE, RCM, VCCI, BSMI, UL, CB, RoHS2",130,0,1,8,8,0,2,0,0,0,0,8x GE RJ45 and 2x GE SFP,,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortiswitch-secure-access-series.pdf,2026-02-06
Fortinet,FortiSwitch,110G-FPOE,G,10,140,208,32000,1,4000,10,1GB DDR4,8MB NOR,,640,32,44 x 270 x 228,1.84,100V-240VAC/54V DC power adapter included,"100-240V AC, 50-60 Hz",,250,102.36,0-45°C,-40-70°C,5-95% RH non-condensing,side to back/top,0,"FCC, CE, RCM, VCCI, BSMI, UL, CB, RoHS2",200,,1,10,0,10,0,4,0,0,0,"2x 5G/2.5G/1G/100M and 8x 2.5G/1G/100M/10M RJ45, 4x 10G/1G/100 SFP+/SFP",,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortiswitch-secure-access-series.pdf,2026-02-06
Fortinet,FortiSwitch,124G,G,10,240,355,32000,1,4000,8,1GB DDR4,256MB NAND,,640,32,44 x 310 x 440,3.97,AC built in,"100-240V AC, 50-60 Hz",,43.5,148.4,-5-45°C,-40-70°C,5-95% RH non-condensing,side-to-side,0,"FCC, ICES, CE, UKCA, RCM, VCCI, BSMI, UL, CB, RoHS2",0,,1,0,0,24,0,6,0,0,0,24x 2.5G/1G/100M/10M and 6x 10G/1G SFP+/SFP,,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortiswitch-secure-access-series.pdf,2026-02-06
Fortinet,FortiSwitch,124G-FPOE,G,10,240,355,32000,1,4000,8,1GB DDR4,256MB NAND,,640,32,44 x 310 x 440,4.86,AC built in,"100-240V AC, 50-60 Hz",,880,194.8,-5-45°C,-40-70°C,5-95% RH non-condensing,side-to-side,48.2,"FCC, ICES, CE, UKCA, RCM, VCCI, BSMI, UL, CB, RoHS2",780,,1,24,0,24,0,6,0,0,0,24x 2.5G/1G/100M/10M and 6x 10G/1G SFP+/SFP,,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortiswitch-secure-access-series.pdf,2026-02-06
Fortinet,FortiSwitch,124F,F,10,128,190,32000,1,4000,8,512 MB DDR3,64 MB,,640,32,44 x 230 x 330,2.03,AC built in,"100-240V AC, 50-60 Hz",24.8,26.3,89.683,0-45°C,-20-70°C,10-90% non-condensing,side-to-side,0,"FCC, CE, RCM, VCCI, BSMI, UL, CB, RoHS2",0,0,1,0,24,0,0,4,0,0,0,24x GE RJ45 and 4x 10GE SFP+,,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortiswitch-secure-access-series.pdf,2026-02-06
Fortinet,FortiSwitch,124F-POE,F,10,128,190,32000,1,4000,8,512 MB DDR3,64 MB,,640,32,44 x 260 x 440,3.56,AC built in,"100-240V AC, 50-60 Hz",235.9,237.4,102.982,0-45°C,-20-70°C,10-90% non-condensing,side-to-back,46.3,"FCC, CE, RCM, VCCI, BSMI, UL, CB, RoHS2",185,0,1,12,24,0,0,4,0,0,0,24x GE RJ45 and 4x 10GE SFP+,,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortiswitch-secure-access-series.pdf,2026-02-06
Fortinet,FortiSwitch,124F-FPOE,F,10,128,190,32000,1,4000,8,512 MB DDR3,64 MB,,640,32,44 x 260 x 440,3.82,AC built in,"100-240V AC, 50-60 Hz",449.8,451.3,118.327,0-45°C,-20-70°C,10-90% non-condensing,side-to-back,45.8,"FCC, CE, RCM, VCCI, BSMI, UL, CB, RoHS2",370,0,1,24,24,0,0,4,0,0,0,24x GE RJ45 and 4x 10GE SFP+,,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortiswitch-secure-access-series.pdf,2026-02-06
Fortinet,FortiSwitch,148F,F,10,176,260,32000,1,4000,8,512 MB DDR3,64 MB,,640,32,44 x 260 x 440,3.46,AC built in,"100-240V AC, 50-60 Hz",55.8,57,194.37,0-45°C,-20-70°C,10-90% non-condensing,side-to-side,42.8,"FCC, CE, RCM, VCCI, BSMI, UL, CB, RoHS2",0,0,1,0,48,0,0,4,0,0,0,48x GE RJ45 and 4x 10GE SFP+,,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortiswitch-secure-access-series.pdf,2026-02-06
